action,filename,timestamp,acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
start,data_log,2025-03-05 10:12:40,,,,,,
,,2025-03-05 10:12:48,-0.837,-2.011,8.744,-7.0,1.809,-0.969
,,2025-03-05 10:12:48,-0.88,-1.892,8.758,-7.031,-0.74,-1.115
,,2025-03-05 10:12:48,-0.913,-1.98,8.722,-7.344,-1.626,-1.214
,,2025-03-05 10:12:48,-0.815,-2.057,8.645,-7.076,0.137,-0.962
,,2025-03-05 10:12:48,-0.844,-2.002,8.688,-6.748,1.588,-1.061
,,2025-03-05 10:12:48,-0.693,-1.904,8.899,-6.763,1.794,-0.87
,,2025-03-05 10:12:48,-0.75,-1.901,8.789,-6.916,0.565,-1.099
,,2025-03-05 10:12:48,-0.911,-2.091,8.765,-6.695,-0.985,-0.71
,,2025-03-05 10:12:48,-0.88,-2.071,8.775,-7.344,-0.885,-0.969
,,2025-03-05 10:12:48,-0.777,-1.98,8.753,-6.87,0.13,-0.924
,,2025-03-05 10:12:48,-0.937,-1.952,8.722,-6.702,-0.115,-0.802
,,2025-03-05 10:12:49,-0.839,-1.978,8.777,-7.107,-1.366,-0.969
,,2025-03-05 10:12:49,-0.834,-2.045,8.722,-7.031,-0.618,-1.13
,,2025-03-05 10:12:49,-0.794,-1.954,8.815,-6.947,1.351,-1.061
,,2025-03-05 10:12:49,-0.81,-1.923,8.765,-7.061,0.534,-0.939
,,2025-03-05 10:12:49,-0.863,-1.983,8.868,-7.328,-0.817,-1.153
,,2025-03-05 10:12:49,-0.889,-1.961,8.775,-6.969,-0.336,-1.061
,,2025-03-05 10:12:49,-0.827,-2.014,8.748,-6.908,0.344,-0.992
,,2025-03-05 10:12:49,-0.945,-2.007,8.662,-7.031,0.061,-1.031
,,2025-03-05 10:12:49,-0.877,-2.014,8.66,-7.0,-0.267,-0.893
,,2025-03-05 10:12:49,-0.801,-1.928,8.803,-7.13,-0.779,-1.168
,,2025-03-05 10:12:49,-0.844,-1.999,8.832,-7.16,0.298,-0.908
,,2025-03-05 10:12:49,-0.82,-1.964,8.633,-6.924,0.16,-1.099
