action,filename,timestamp,acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
,,2025-03-05 10:13:57,3.059,3.133,7.94,-8.061,2.115,-1.748
,,2025-03-05 10:13:57,3.081,3.229,7.907,-8.015,-0.42,-3.16
,,2025-03-05 10:13:57,2.992,3.44,7.967,-7.42,0.916,-0.977
,,2025-03-05 10:13:57,3.009,3.225,7.936,-6.733,0.611,0.244
,,2025-03-05 10:13:57,2.985,3.059,7.916,-6.794,0.267,-1.42
,,2025-03-05 10:13:57,2.961,3.153,7.866,-7.183,0.771,-2.382
,,2025-03-05 10:13:57,3.117,3.412,8.084,-7.389,1.427,-1.679
,,2025-03-05 10:13:58,2.954,3.253,8.017,-6.481,-0.397,0.412
,,2025-03-05 10:13:58,2.915,3.09,7.969,-5.611,-1.435,0.023
,,2025-03-05 10:13:58,3.138,3.318,7.979,-7.015,0.176,-1.847
,,2025-03-05 10:13:58,3.129,3.261,7.926,-7.504,-0.382,-1.763
,,2025-03-05 10:13:58,2.882,3.179,8.012,-6.702,-0.924,-0.557
,,2025-03-05 10:13:58,3.121,3.282,7.955,-6.664,-0.481,-0.611
,,2025-03-05 10:13:58,3.145,3.287,7.967,-7.328,0.351,-1.374
,,2025-03-05 10:13:58,3.002,3.203,8.022,-6.443,-1.092,-1.206
,,2025-03-05 10:13:58,3.098,3.148,7.777,-7.344,-0.229,-0.588
,,2025-03-05 10:13:58,2.906,3.256,7.979,-7.504,0.985,-1.099
